#TAXONOMY,Kindom,Phylum,Class,Order,Family,Genus,Species
541135,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
1119668,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, 
838207,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, , 
521221,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Intrasporangiaceae, Janibacter, 
187248,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
333495,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
1920110,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella, 
4337383,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, , 
137043,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
567972,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, agalactiae
92874,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
4108335,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
1052181,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, nanceiensis
686219,Bacteria, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Ammoniphilus, 
440481,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, 
519353,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Proteiniclasticum, 
4419617,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Lysobacter, 
4327628,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
181160,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, 
177005,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
4459446,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Mycobacteriaceae, Mycobacterium, 
959160,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, Mycetocola, 
4450214,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
687185,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, 
4210142,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
572237,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, 
1046997,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister, 
925397,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
4331439,Bacteria, TM7, TM7-3, , , , 
327171,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
829012,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Pseudonocardiaceae, Pseudonocardia, 
142606,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, KD1-23, 
4465907,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
830251,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, , 
287547,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Ralstonia, 
248591,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
4393019,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Catonella, 
934418,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4454531,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
4427459,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus, 
807329,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, 
3166216,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
177319,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
505587,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Finegoldia, 
741311,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, , , 
623091,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, , 
1001762,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, , 
1121115,Bacteria, Acidobacteria, Acidobacteria-6, iii1-15, mb2424, , 
332293,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
72420,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
4373910,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, , 
194106,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
335967,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
4427678,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, , 
861375,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, 
189110,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus, 
613230,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
2163609,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, Atopobium, 
4193312,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Trabulsiella, farmeri
674384,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
40351,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, , , 
186913,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
1100972,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus, 
857594,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
205245,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
1143604,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Jeotgalicoccus, 
894654,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, , 
821473,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Alcanivoracaceae, Alcanivorax, 
563240,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Erythrobacteraceae, Erythromicrobium, ramosum
3244896,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
140328,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Sporocytophaga, 
549756,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
701864,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, 
1718658,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, 
4460738,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, , 
873747,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
1105894,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
509342,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, , 
4397466,Bacteria, Chlorobi, OPB56, , , , 
4403632,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Coprococcus, 
963239,Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Facklamia, 
1676137,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, casseliflavus
521996,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
671258,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Gordoniaceae, Gordonia, 
4374322,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, venetianus
3992505,Bacteria, Proteobacteria, Deltaproteobacteria, Myxococcales, Nannocystaceae, Plesiocystis, 
4403542,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
1105876,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister, 
802262,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
165771,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Arthrospira, 
112718,Bacteria, TM7, TM7-3, , , , 
184991,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
448038,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Polaromonas, 
251488,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, [Weeksellaceae], Chryseobacterium, 
821956,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, , 
1062356,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
909624,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinomyces, 
715102,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, , 
4441038,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Leptotrichia, 
259604,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], WAL_1855D, 
976171,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4816,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, , , 
439804,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Brevibacteriaceae, Brevibacterium, paucivorans
4415571,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
114573,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Pseudoxanthomonas, mexicana
4359270,Bacteria, Gemmatimonadetes, Gemmatimonadetes, KD8-87, , , 
195200,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
500600,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
969149,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Citrobacter, 
201726,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter, 
192795,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, rhizosphaerae
4423026,Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, , 
4404405,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Desemzia, 
4004100,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Brevibacteriaceae, Brevibacterium, 
4302302,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, , 
274016,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
152823,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4451922,Bacteria, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Phormidiaceae, , 
4348047,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
199548,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
4315254,Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, , 
133341,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
295146,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, 
236811,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, 
408604,Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Coriobacteriaceae, , 
4399988,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
4320312,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4458476,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4330572,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Capnocytophaga, 
4399453,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , 
99517,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Dysgonomonas, 
4400869,Bacteria, SR1, , , , , 
4358093,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Sodalis, 
310131,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, , 
4384044,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
1086889,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], WAL_1855D, 
1145041,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, 
176660,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, 
928424,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
211552,Bacteria, OD1, SM2F11, , , , 
194326,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, , 
1072424,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Nocardioidaceae, Friedmanniella, 
820370,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Sphingobacteriaceae, , 
113778,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , 
128050,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, 
176468,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, cowanii
176469,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
113773,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, , 
2689396,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
173945,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea, formicigenerans
1076969,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
2355011,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Delftia, 
1087597,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
235838,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Halomonas, 
2806353,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, 
4305815,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
554703,Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, 
4321136,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
911496,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4367588,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, , 
301677,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, , 
574249,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Actinomycetaceae, Actinobaculum, 
591033,Bacteria, Proteobacteria, Alphaproteobacteria, , , , 
1042616,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
1021368,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
293843,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, copri
714278,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, yabuuchiae
926712,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
1099710,Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Peptococcus, 
219151,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, , 
543491,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Micrococcaceae, , 
4477028,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, 
660099,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, 
911016,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
871698,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, epidermidis
808309,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Erwinia, 
2035238,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, mitochondria, , 
4425571,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
1114747,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Enhydrobacter, 
1087938,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, epidermidis
981912,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, melaninogenica
1007750,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
365628,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Phascolarctobacterium, 
555945,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, SMB53, 
248831,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Hymenobacter, 
4340137,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
144653,Bacteria, Firmicutes, Bacilli, Bacillales, [Exiguobacteraceae], Exiguobacterium, 
183571,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, , 
4446538,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, , 
197077,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia, 
4296366,Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Sporosarcina, 
4425358,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Propionibacteriaceae, Propionibacterium, acnes
998893,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Gordoniaceae, Gordonia, 
324888,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
550937,Bacteria, Chloroflexi, Gitt-GS-136, , , , 
516198,Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, 
271159,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella, 
560304,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, 
1140721,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, 
4391625,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella, parvula
352951,Bacteria, Firmicutes, Clostridia, Clostridiales, , , 
156652,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, , 
226659,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
29566,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, 
4424925,Bacteria, Bacteroidetes, [Saprospirae], [Saprospirales], Chitinophagaceae, Niabella, 
426566,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, 
285536,Bacteria, Proteobacteria, Betaproteobacteria, Methylophilales, Methylophilaceae, Methylotenera, mobilis
169600,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus, 
1145553,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Flavobacterium, 
495096,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Corynebacteriaceae, Corynebacterium, 
495095,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Anaerococcus, 
3437276,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Cupriavidus, 
142376,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, , 
4386593,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, 
258707,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, Methylobacterium, 
4477789,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Zoogloea, 
4357082,Bacteria, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Ureaplasma, 
1107335,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, 
182933,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Blautia, 
935688,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, Microbacteriaceae, , 
192952,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
4317610,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Selenomonas, 
95300,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, 
182986,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium, prausnitzii
162924,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Helcococcus, 
893232,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, , , 
569479,Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, , 
505954,Bacteria, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Xenococcaceae, , 
4480185,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, , 
359809,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Sutterella, 
172808,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, , 
517754,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
159711,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, lwoffii
161616,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, , 
3462224,Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, parainfluenzae
548842,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, , , 
575956,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methylobacteriaceae, , 
4359348,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Rhodoferax, 
31235,Bacteria, Fusobacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Leptotrichia, 
640071,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, 
164187,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, 
993705,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, 
4300310,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, , 
4305672,Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, , 
725048,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
131051,Bacteria, Actinobacteria, Actinobacteria, Actinomycetales, , , 
774746,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Hyphomicrobium, 
4371215,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
1064036,Bacteria, Firmicutes, Clostridia, Clostridiales, [Tissierellaceae], Peptoniphilus, 
777031,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, , 
186891,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, , 
912149,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Janthinobacterium, 
249525,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, , 
746873,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, 
532912,Bacteria, Proteobacteria, Alphaproteobacteria, , , , 
4297695,Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, 
4297698,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, , 
